"Default","Choice"
"opt-in","donor"
"opt-in","donor"
"opt-in","donor"
"opt-in","donor"
"opt-in","donor"
"opt-in","donor"
"opt-in","donor"
"opt-in","donor"
"opt-in","donor"
"opt-in","donor"
"opt-in","donor"
"opt-in","donor"
"opt-in","donor"
"opt-in","donor"
"opt-in","donor"
"opt-in","donor"
"opt-in","donor"
"opt-in","donor"
"opt-in","donor"
"opt-in","donor"
"opt-in","donor"
"opt-in","donor"
"opt-in","donor"
"opt-out","donor"
"opt-out","donor"
"opt-out","donor"
"opt-out","donor"
"opt-out","donor"
"opt-out","donor"
"opt-out","donor"
"opt-out","donor"
"opt-out","donor"
"opt-out","donor"
"opt-out","donor"
"opt-out","donor"
"opt-out","donor"
"opt-out","donor"
"opt-out","donor"
"opt-out","donor"
"opt-out","donor"
"opt-out","donor"
"opt-out","donor"
"opt-out","donor"
"opt-out","donor"
"opt-out","donor"
"opt-out","donor"
"opt-out","donor"
"opt-out","donor"
"opt-out","donor"
"opt-out","donor"
"opt-out","donor"
"opt-out","donor"
"opt-out","donor"
"opt-out","donor"
"opt-out","donor"
"opt-out","donor"
"opt-out","donor"
"opt-out","donor"
"opt-out","donor"
"opt-out","donor"
"opt-out","donor"
"opt-out","donor"
"opt-out","donor"
"opt-out","donor"
"neutral","donor"
"neutral","donor"
"neutral","donor"
"neutral","donor"
"neutral","donor"
"neutral","donor"
"neutral","donor"
"neutral","donor"
"neutral","donor"
"neutral","donor"
"neutral","donor"
"neutral","donor"
"neutral","donor"
"neutral","donor"
"neutral","donor"
"neutral","donor"
"neutral","donor"
"neutral","donor"
"neutral","donor"
"neutral","donor"
"neutral","donor"
"neutral","donor"
"neutral","donor"
"neutral","donor"
"neutral","donor"
"neutral","donor"
"neutral","donor"
"neutral","donor"
"neutral","donor"
"neutral","donor"
"neutral","donor"
"neutral","donor"
"neutral","donor"
"neutral","donor"
"neutral","donor"
"neutral","donor"
"neutral","donor"
"neutral","donor"
"neutral","donor"
"neutral","donor"
"neutral","donor"
"neutral","donor"
"neutral","donor"
"neutral","donor"
"opt-in","not"
"opt-in","not"
"opt-in","not"
"opt-in","not"
"opt-in","not"
"opt-in","not"
"opt-in","not"
"opt-in","not"
"opt-in","not"
"opt-in","not"
"opt-in","not"
"opt-in","not"
"opt-in","not"
"opt-in","not"
"opt-in","not"
"opt-in","not"
"opt-in","not"
"opt-in","not"
"opt-in","not"
"opt-in","not"
"opt-in","not"
"opt-in","not"
"opt-in","not"
"opt-in","not"
"opt-in","not"
"opt-in","not"
"opt-in","not"
"opt-in","not"
"opt-in","not"
"opt-in","not"
"opt-in","not"
"opt-in","not"
"opt-out","not"
"opt-out","not"
"opt-out","not"
"opt-out","not"
"opt-out","not"
"opt-out","not"
"opt-out","not"
"opt-out","not"
"opt-out","not"
"neutral","not"
"neutral","not"
"neutral","not"
"neutral","not"
"neutral","not"
"neutral","not"
"neutral","not"
"neutral","not"
"neutral","not"
"neutral","not"
"neutral","not"
"neutral","not"
