"Feeding","GCI"
"Breastfed",126.701
"Breastfed",124.692
"Breastfed",99.787
"Breastfed",104.966
"Breastfed",97.252
"Breastfed",131.276
"Breastfed",98.457
"Breastfed",101.93
"Breastfed",105.208
"Breastfed",115.847
"Breastfed",109.619
"Breastfed",107.111
"Breastfed",91.257
"Breastfed",115.101
"Breastfed",113.016
"Breastfed",102.031
"Breastfed",95.632
"Breastfed",124.555
"Breastfed",126.436
"Breastfed",110.217
"Breastfed",107.427
"Breastfed",105.861
"Breastfed",93.836
"Breastfed",104.509
"Breastfed",79.067
"Breastfed",109.013
"Breastfed",87.995
"Breastfed",114.134
"Breastfed",139.129
"Breastfed",119.572
"Breastfed",122.906
"Breastfed",110.315
"Breastfed",122.875
"Breastfed",135.716
"Breastfed",128.422
"Breastfed",107.054
"Breastfed",84.8
"Breastfed",106.721
"Breastfed",100.418
"Breastfed",97.402
"Breastfed",80.345
"Breastfed",132.077
"Breastfed",117.429
"Breastfed",102.85
"Breastfed",112.664
"Breastfed",89.35
"Breastfed",93.203
"Breastfed",93.458
"Breastfed",112.297
"Breastfed",129.083
"Breastfed",90.109
"Breastfed",99.281
"Breastfed",140.177
"Breastfed",87.092
"Breastfed",91.552
"Breastfed",100.209
"Breastfed",106.312
"Breastfed",99.056
"Breastfed",133.36
"Breastfed",91.739
"Breastfed",86.919
"Breastfed",127.501
"Breastfed",134.842
"Breastfed",105.573
"Breastfed",103.258
"Breastfed",72.816
"Breastfed",99.794
"Breastfed",108.154
"Breastfed",107.082
"Breastfed",118.324
"Breastfed",128.095
"Breastfed",108.465
"Breastfed",97.26
"Breastfed",123.283
"Breastfed",110.158
"Breastfed",145.889
"Breastfed",98.872
"Breastfed",92.186
"Breastfed",112.361
"Breastfed",95.757
"Breastfed",117.584
"Breastfed",107.63
"Breastfed",89.854
"Breastfed",90.68
"Breastfed",107.634
"Breastfed",112.783
"Breastfed",107.688
"Breastfed",98.715
"Breastfed",93.387
"Breastfed",111.931
"Breastfed",97.635
"Breastfed",68.33
"Breastfed",120.362
"Breastfed",108.564
"Breastfed",82.169
"Breastfed",110.509
"Breastfed",109.177
"Breastfed",109.714
"Breastfed",87.851
"Breastfed",118.543
"Breastfed",99.094
"Breastfed",93.997
"Breastfed",96.419
"Breastfed",99.23
"Breastfed",112.874
"Breastfed",96.083
"Breastfed",102.306
"Breastfed",97.669
"Breastfed",111.835
"Breastfed",103.623
"Breastfed",111.552
"Breastfed",80.407
"Breastfed",98.427
"Breastfed",115.382
"Breastfed",112.484
"Breastfed",100.911
"Breastfed",73.068
"Breastfed",133.646
"Breastfed",90.145
"Breastfed",93.452
"Breastfed",68.81
"Breastfed",98.25
"Breastfed",110.191
"Breastfed",99.764
"Breastfed",129.092
"Breastfed",82.185
"Breastfed",103.851
"Breastfed",78.923
"Breastfed",129.9
"Breastfed",94.372
"Breastfed",118.477
"Breastfed",98.308
"Breastfed",114.447
"Breastfed",101.022
"Breastfed",105.204
"Breastfed",120.621
"Breastfed",109.202
"Breastfed",86.856
"Breastfed",98.923
"Breastfed",101.251
"Breastfed",108.143
"Breastfed",113.201
"Breastfed",101.881
"Breastfed",93.831
"Breastfed",86.296
"Breastfed",104.317
"Breastfed",122.92
"Breastfed",92.233
"Breastfed",123.181
"Breastfed",110.653
"Breastfed",134.319
"Breastfed",127.392
"Breastfed",110.567
"Breastfed",132.588
"Breastfed",103.393
"Breastfed",87.083
"Breastfed",109.151
"Breastfed",108.08
"Breastfed",99.333
"Breastfed",98.162
"Breastfed",99.515
"Breastfed",97.342
"Breastfed",82.788
"Breastfed",110.513
"Breastfed",82.863
"Breastfed",92.112
"Breastfed",101.162
"Breastfed",106.732
"Breastfed",107.802
"Breastfed",105.366
"Breastfed",113.043
"Breastfed",114.115
"Breastfed",116.845
"Breastfed",85.002
"Breastfed",102.757
"Breastfed",114.685
"Breastfed",98.449
"Breastfed",104.489
"Breastfed",110.201
"Breastfed",109.675
"Breastfed",117.659
"Breastfed",109.17
"Breastfed",107.982
"Breastfed",90.181
"Breastfed",103.573
"Breastfed",87.445
"Breastfed",110.917
"Breastfed",130.938
"Breastfed",105.807
"Breastfed",100.77
"Breastfed",123.513
"Breastfed",94.628
"Breastfed",90.585
"Breastfed",120.563
"Breastfed",91.433
"Breastfed",112.902
"Breastfed",117.603
"Breastfed",102.605
"Breastfed",84.229
"Breastfed",93.203
"Breastfed",98.096
"Breastfed",122.711
"Breastfed",126.537
"Breastfed",102.405
"Breastfed",82.975
"Breastfed",87.559
"Breastfed",107.934
"Breastfed",91.321
"Breastfed",119.058
"Breastfed",89.508
"Breastfed",114.103
"Breastfed",112.671
"Breastfed",95.911
"Breastfed",99.317
"Breastfed",99.968
"Breastfed",121.298
"Breastfed",102.178
"Breastfed",78.405
"Breastfed",87.586
"Breastfed",78.082
"Breastfed",114.651
"Breastfed",108.335
"Breastfed",103.343
"Breastfed",118.274
"Breastfed",105.36
"Breastfed",80.989
"Breastfed",109.165
"Breastfed",116.22
"Breastfed",72.894
"Breastfed",108.755
"Breastfed",106.988
"Breastfed",102.032
"Breastfed",106.743
"Breastfed",113.677
"Breastfed",127.328
"Breastfed",114.967
"Breastfed",131.391
"NotBreastfed",106.324
"NotBreastfed",92.655
"NotBreastfed",124.399
"NotBreastfed",126.851
"NotBreastfed",85.633
"NotBreastfed",97.808
"NotBreastfed",63.408
"NotBreastfed",88.041
"NotBreastfed",85.221
"NotBreastfed",80.784
"NotBreastfed",101.037
"NotBreastfed",88.547
"NotBreastfed",73.233
"NotBreastfed",100.805
"NotBreastfed",115.018
"NotBreastfed",99.95
"NotBreastfed",91.418
"NotBreastfed",89.704
"NotBreastfed",120.811
"NotBreastfed",91.645
"NotBreastfed",100.485
"NotBreastfed",91.481
"NotBreastfed",82.606
"NotBreastfed",119.631
"NotBreastfed",78.248
"NotBreastfed",90.103
"NotBreastfed",113.338
"NotBreastfed",100.052
"NotBreastfed",81.743
"NotBreastfed",117.178
"NotBreastfed",118.976
"NotBreastfed",97.78
"NotBreastfed",109.292
"NotBreastfed",109.501
"NotBreastfed",106.269
"NotBreastfed",114
"NotBreastfed",95.627
"NotBreastfed",113.63
"NotBreastfed",91.97
"NotBreastfed",90.43
"NotBreastfed",128.648
"NotBreastfed",133.226
"NotBreastfed",108.647
"NotBreastfed",100.623
"NotBreastfed",88.153
"NotBreastfed",114.94
"NotBreastfed",101.115
"NotBreastfed",111.306
"NotBreastfed",91.127
"NotBreastfed",109.356
"NotBreastfed",115.317
"NotBreastfed",78.555
"NotBreastfed",79.488
"NotBreastfed",93.239
"NotBreastfed",88.261
"NotBreastfed",114.915
"NotBreastfed",107.869
"NotBreastfed",77.152
"NotBreastfed",93.594
"NotBreastfed",104.236
"NotBreastfed",108.629
"NotBreastfed",87.984
"NotBreastfed",118.566
"NotBreastfed",96.269
"NotBreastfed",84.692
"NotBreastfed",124.995
"NotBreastfed",111.243
"NotBreastfed",90.994
"NotBreastfed",106.394
"NotBreastfed",105.254
"NotBreastfed",97.048
"NotBreastfed",104.415
"NotBreastfed",99.543
"NotBreastfed",99.144
"NotBreastfed",104.171
"NotBreastfed",95.569
"NotBreastfed",100.748
"NotBreastfed",118.53
"NotBreastfed",118.393
"NotBreastfed",117.886
"NotBreastfed",92.803
"NotBreastfed",93.874
"NotBreastfed",109.575
"NotBreastfed",104.82
"NotBreastfed",99.561
